C,gamma,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,rank_recall
0.1,0.001,0.6747739873991347,0.0036194879396904446,0.9477046152686428,0.004720879363145333,0.7882677765162461,0.002135583531595433,0.7945923752583408,0.009546388285256405,1
100.0,auto,0.861102950951801,0.011934792865283348,0.9352970368555618,0.007334058912875167,0.8966272835623548,0.008207253705152627,0.9470848444001329,0.006875383171953242,2
10.0,auto,0.8505338385022517,0.008617578952755453,0.9305098028130085,0.004310566571380458,0.8887035041582424,0.005496235639017861,0.9474286223301007,0.006376871391446081,3
100.0,scale,0.853163599669329,0.008736044781563732,0.9285599193411607,0.004521298725845638,0.8892492862600803,0.006056274823365331,0.944733338129363,0.006424658052000773,4
10.0,0.001,0.7422355474452329,0.00761340839478533,0.9262563682163968,0.00931850698737155,0.82407370701142,0.007075362530433767,0.8821047340010084,0.007600511131794077,5
10.0,scale,0.8390165420060555,0.0064991917337338875,0.9257241392307257,0.008908765625109321,0.8802308478152053,0.007074112513557293,0.9408195489802946,0.006401839766573259,6
100.0,0.001,0.7858001936946308,0.010364203325550886,0.9145564392012011,0.009567380436070989,0.8452729023539775,0.008775564128657076,0.9144702111865868,0.006097460765489609,7
1.0,auto,0.8285469870758646,0.00919273283824751,0.9120746408357361,0.010547926710294435,0.8682826462463072,0.008708370121700722,0.9328974384411873,0.007006733047275722,8
1.0,0.001,0.7129697150605672,0.005686151676289502,0.9104782679707769,0.008938120969231392,0.7996861812445883,0.0055837802350658505,0.8297236544875579,0.008172135127254189,9
1.0,scale,0.8113094222727544,0.011335814412423274,0.909237604357085,0.010675806632534089,0.8574249810988253,0.008438626694966976,0.9252719343846996,0.0065157267341589015,10
0.1,scale,0.7578644400289835,0.010505337418977105,0.8996670624226549,0.012679159973014024,0.8226663503198252,0.010189656419684235,0.893037858500995,0.008043191704673417,11
0.1,auto,0.7803009711331805,0.012793095391334934,0.8748489217219783,0.013451739302416006,0.8248494076778485,0.012300678378208809,0.9012088965995148,0.008517671682822945,12
