component,explained_variance_ratio,cumulative_explained_variance
1,0.16613112323170723,0.16613112323170723
2,0.11805634662644415,0.28418746985815135
3,0.0964499931411658,0.38063746299931717
4,0.07902923838601505,0.4596667013853322
5,0.06488809764876242,0.5245547990340946
6,0.04911932121366699,0.5736741202477617
7,0.0443973397977797,0.6180714600455414
8,0.043441663757670015,0.6615131238032114
9,0.03981239422318138,0.7013255180263928
10,0.028011931742750285,0.729337449769143
11,0.02755406800967465,0.7568915177788177
12,0.025011992158319275,0.781903509937137
13,0.022454886836739216,0.8043583967738762
14,0.020885023990986525,0.8252434207648628
15,0.01799461978001649,0.8432380405448793
16,0.01648515906550491,0.8597231996103842
17,0.016154888366874225,0.8758780879772584
18,0.014025682140694475,0.8899037701179529
19,0.013395575544340333,0.9032993456622932
20,0.012550777875382616,0.9158501235376758
21,0.011100472039407727,0.9269505955770836
22,0.01036290845274735,0.9373135040298309
23,0.008906933798718736,0.9462204378285497
24,0.008608029871483293,0.954828467700033
25,0.007031586275268335,0.9618600539753014
26,0.006512611505195342,0.9683726654804967
27,0.006135947533895706,0.9745086130143924
28,0.005587662373646169,0.9800962753880386
29,0.004677797129394204,0.9847740725174328
30,0.002645383984303182,0.9874194565017359
31,0.0023072162448171535,0.989726672746553
32,0.0018373106824123753,0.9915639834289653
33,0.00135515959318464,0.99291914302215
34,0.0012348116508935627,0.9941539546730436
35,0.001174452357015502,0.9953284070300591
36,0.0009354495624436747,0.9962638565925027
37,0.0008055658449576721,0.9970694224374604
38,0.0005604106001196228,0.99762983303758
39,0.00047474181256706386,0.998104574850147
40,0.00034956197329460504,0.9984541368234416
41,0.00031191239731286047,0.9987660492207545
42,0.0002909095128449501,0.9990569587335995
43,0.00025580116830311125,0.9993127599019026
44,0.0002424943137656089,0.9995552542156683
45,0.00017194990483869238,0.999727204120507
46,0.00013855124591339086,0.9998657553664204
47,8.966831838850407e-05,0.9999554236848089
48,4.457631519135157e-05,1.0000000000000002
49,5.957252286807108e-18,1.0000000000000002
50,5.3494001032890745e-18,1.0000000000000002
51,0.0,1.0000000000000002
